id,event_id,action,created_at,event_name
934,kitchen-dwellers-w-silas-herman-the-tone-unit-friday-1-23-cervantes-masterpiece-ballroom-2026-01-23,viewed,2026-01-17 03:11:58.612939+00,Kitchen Dwellers w/ Silas Herman & The Tone Unit **FRIDAY 1/23**
935,matteo-mancuso-cervantes-other-side-2026-02-04,viewed,2026-01-17 03:11:58.606367+00,Matteo Mancuso
936,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-17 03:12:03.959247+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
937,great-blue-ft-peter-anspach-of-goose-w-jewel-house-and-special-guest-ruthie-bandit-dj-set-cervantes-other-side-2026-02-01,viewed,2026-01-17 03:12:03.962929+00,Great Blue ft. Peter Anspach of Goose w/ Jewel House and Special Guest Ruthie Bandit (DJ Set)
938,miilk-w-buzz-junior-sweetboi-cervantes-other-side-2026-01-31,viewed,2026-01-17 03:12:03.97043+00,"Miilk w/ Buzz Junior, Sweetboi"
939,lotus-saturday-1-17-cervantes-masterpiece-ballroom-2026-01-17,viewed,2026-01-17 03:12:06.051764+00,Lotus **SATURDAY 1/17**
940,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:12:06.051776+00,Jimkata w/ Barbara
941,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-17 03:12:06.053012+00,Lotus **FRIDAY 1/16**
942,matteo-mancuso-cervantes-other-side-2026-02-04,viewed,2026-01-17 03:12:09.363945+00,Matteo Mancuso
943,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:12:09.367065+00,Chick Magnet & Nostaljazz & Slippery When Wet
944,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:12:09.354947+00,STS9
945,pma-ft-clay-parnell-steve-molitz-allen-aucoin-ben-silver-cervantes-other-side-2026-01-24,viewed,2026-01-17 03:19:30.49167+00,"PMA (ft. Clay Parnell, Steve Molitz, Allen Aucoin) & Ben Silver"
946,kitchen-dwellers-w-jammy-buffet-thursday-1-22-cervantes-masterpiece-ballroom-2026-01-22,viewed,2026-01-17 03:19:30.49173+00,Kitchen Dwellers w/ Jammy Buffet **THURSDAY 1/22**
947,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:19:30.492124+00,Jimkata w/ Barbara
948,jimkata-w-barbara-cervantes-other-side-2026-01-22,open_event_card,2026-01-17 03:19:32.784246+00,Jimkata w/ Barbara
949,pma-ft-clay-parnell-steve-molitz-allen-aucoin-ben-silver-cervantes-other-side-2026-01-24,viewed,2026-01-17 03:19:59.333662+00,"PMA (ft. Clay Parnell, Steve Molitz, Allen Aucoin) & Ben Silver"
950,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-17 03:19:59.339914+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
951,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:19:59.340426+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
952,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:24:08.38381+00,Jimkata w/ Barbara
953,shift-ft-midicinal-w-catparty-phlo-philia-cervantes-other-side-2026-01-29,viewed,2026-01-17 03:24:08.383879+00,"SHIFT Ft. MIDIcinal w/ CatParty, PhLo, Philia"
954,miilk-w-buzz-junior-sweetboi-cervantes-other-side-2026-01-31,viewed,2026-01-17 03:24:08.383683+00,"Miilk w/ Buzz Junior, Sweetboi"
955,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:24:23.900449+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
956,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:24:23.909192+00,STS9
957,flamingosis-w-blockhead-pure-colors-little-mac-cervantes-masterpiece-ballroom-2026-01-31,viewed,2026-01-17 03:24:23.914473+00,"Flamingosis w/ Blockhead, Pure Colors, Little Mac"
958,chmura-duffrey-at-ogden-theatre-cervantes-masterpiece-ballroom-2026-01-30,viewed,2026-01-17 03:24:28.328991+00,Chmura & Duffrey AT OGDEN THEATRE
959,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:24:28.343702+00,Chick Magnet & Nostaljazz & Slippery When Wet
